createdAt,value
2022-08-11 07:55:00.526000+00:00,23.9
2022-08-11 08:55:00.217000+00:00,27.4
2022-08-11 09:55:01.859000+00:00,29.6
2022-08-11 10:55:00.198000+00:00,30.6
2022-08-11 11:55:00.193000+00:00,31.3
2022-08-11 12:55:00.258000+00:00,32.1
2022-08-11 13:55:00.173000+00:00,32.8
2022-08-11 14:55:00.206000+00:00,33.0
2022-08-11 15:55:00.216000+00:00,32.1
2022-08-11 16:55:00.172000+00:00,31.8
2022-08-11 17:55:00.177000+00:00,30.5
2022-08-11 18:55:00.222000+00:00,26.8
2022-08-11 19:55:00.180000+00:00,24.3
2022-08-11 20:55:00.760000+00:00,22.6
2022-08-11 21:55:00.163000+00:00,21.4
2022-08-11 22:55:00.173000+00:00,20.0
2022-08-11 23:55:00.173000+00:00,18.7
2022-08-12 00:55:00.153000+00:00,18.2
2022-08-12 01:55:00.179000+00:00,17.3
2022-08-12 02:55:00.183000+00:00,16.6
2022-08-12 03:55:00.162000+00:00,16.1
2022-08-12 04:55:00.194000+00:00,16.0
2022-08-12 05:55:00.214000+00:00,19.2
2022-08-12 06:55:00.178000+00:00,21.5
2022-08-12 07:55:00.204000+00:00,24.3
2022-08-12 08:55:00.204000+00:00,27.4
2022-08-12 09:55:02.684000+00:00,30.4
2022-08-12 10:55:00.209000+00:00,31.6
2022-08-12 11:55:00.169000+00:00,32.1
2022-08-12 12:55:00.197000+00:00,32.5
2022-08-12 13:55:00.208000+00:00,33.5
2022-08-12 14:50:33.607000+00:00,32.9
2022-08-12 15:55:05.063000+00:00,33.2
2022-08-12 16:55:00.210000+00:00,32.2
2022-08-12 17:55:00.234000+00:00,30.7
2022-08-12 18:55:05.905000+00:00,27.3
2022-08-12 19:55:00.199000+00:00,24.3
2022-08-12 20:55:00.191000+00:00,22.8
2022-08-12 21:55:00.191000+00:00,21.1
2022-08-12 22:55:03.532000+00:00,19.5
2022-08-12 23:55:23.966000+00:00,18.3
2022-08-13 00:55:00.225000+00:00,17.3
2022-08-13 01:55:00.191000+00:00,16.4
2022-08-13 02:55:00.191000+00:00,15.8
2022-08-13 03:55:00.595000+00:00,15.3
2022-08-13 04:55:00.194000+00:00,14.9
2022-08-13 05:56:13.934000+00:00,18.9
2022-08-13 06:55:00.434000+00:00,21.6
2022-08-13 07:55:00.248000+00:00,24.7
2022-08-13 08:55:12.395000+00:00,27.5
2022-08-13 09:55:00.289000+00:00,30.0
2022-08-13 10:55:00.285000+00:00,30.4
2022-08-13 11:55:04.389000+00:00,31.5
2022-08-13 12:55:13.109000+00:00,32.4
2022-08-13 13:55:00.210000+00:00,32.5
2022-08-13 14:55:00.194000+00:00,33.0
2022-08-13 15:55:00.200000+00:00,32.4
2022-08-13 16:55:01.866000+00:00,31.8
2022-08-13 17:55:00.191000+00:00,30.4
2022-08-13 18:55:00.964000+00:00,26.9
2022-08-13 19:55:01.264000+00:00,24.5
2022-08-13 20:55:00.353000+00:00,22.8
2022-08-13 21:55:00.192000+00:00,21.2
2022-08-13 22:15:00.231000+00:00,20.9
2022-08-13 22:55:00.218000+00:00,20.4
2022-08-13 23:55:00.171000+00:00,19.4
2022-08-14 00:55:00.201000+00:00,18.6
2022-08-14 01:55:00.178000+00:00,17.9
